"age","education","years_experience","gender","sex","race","ethnicity","pregnancy","department","position_level","market_rate_salary","negotiated_salary","is_anomaly"
58,"Master",28.5,"Male","Male","White","Hispanic or Latino",FALSE,"Marketing","Entry",97100,106200,FALSE
22,"Master",3.1,"Male","Male","Native Hawaiian or Pacific Islander","Not Hispanic or Latino",FALSE,"Sales","Entry",54800,52500,FALSE
46,"PhD",19.7,"Male","Male","American Indian or Alaska Native","Not Hispanic or Latino",FALSE,"Sales","Entry",90600,89100,FALSE
31,"Bachelor",4.5,"Male","Male","Native Hawaiian or Pacific Islander","Not Hispanic or Latino",FALSE,"HR","Mid",76500,76200,FALSE
57,"Master",23.2,"Male","Male","White","Hispanic or Latino",FALSE,"Marketing","Director",140300,151800,FALSE
39,"Bachelor",14,"Male","Male","American Indian or Alaska Native","Not Hispanic or Latino",FALSE,"Administrative","Mid",91300,87900,FALSE
45,"Bachelor",8.1,"Male","Male","American Indian or Alaska Native","Hispanic or Latino",FALSE,"Software","Executive",162800,174100,FALSE
28,"PhD",2,"Female","Female","Black or African American","Not Hispanic or Latino",FALSE,"Sales","Entry",81200,74600,FALSE
57,"Bachelor",17,"Male","Female","White","Not Hispanic or Latino",FALSE,"Sales","Director",125500,139300,FALSE
46,"Bachelor",14.3,"Female","Female","Black or African American","Not Hispanic or Latino",FALSE,"Administrative","Mid",96900,89900,FALSE
58,"Bachelor",20.1,"Female","Female","Native Hawaiian or Pacific Islander","Hispanic or Latino",TRUE,"Marketing","Executive",181400,184600,FALSE
41,"Bachelor",17.9,"Male","Male","Native Hawaiian or Pacific Islander","Hispanic or Latino",FALSE,"HR","Mid",96600,92200,FALSE
47,"Bachelor",19.4,"Male","Male","Asian","Not Hispanic or Latino",FALSE,"Administrative","Entry",72000,74500,FALSE
24,"Master",3.6,"Male","Female","American Indian or Alaska Native","Hispanic or Latino",FALSE,"Software","Mid",90900,94700,FALSE
62,"Bachelor",41,"Male","Male","Native Hawaiian or Pacific Islander","Not Hispanic or Latino",FALSE,"Software","Executive",192300,199500,FALSE
46,"Bachelor",15.6,"Male","Male","American Indian or Alaska Native","Not Hispanic or Latino",FALSE,"Sales","Entry",76600,75700,FALSE
48,"Master",19.9,"Female","Female","Asian","Not Hispanic or Latino",FALSE,"HR","Director",146700,146100,FALSE
57,"Master",35.5,"Male","Male","American Indian or Alaska Native","Hispanic or Latino",FALSE,"Administrative","Mid",130400,123700,FALSE
58,"Bachelor",29.9,"Male","Male","Black or African American","Hispanic or Latino",FALSE,"Sales","Executive",188700,205600,FALSE
52,"Bachelor",7.7,"Did not disclose","Female","Asian","Hispanic or Latino",FALSE,"Sales","Director",105900,117100,FALSE
26,"Bachelor",6.3,"Female","Female","White","Hispanic or Latino",FALSE,"Finance/Accounting","Mid",74300,76500,FALSE
41,"Bachelor",18,"Male","Female","Black or African American","Not Hispanic or Latino",FALSE,"HR","Mid",92500,93700,FALSE
55,"Master",12.8,"Male","Male","Asian","Hispanic or Latino",FALSE,"Software","Director",142700,161200,FALSE
49,"Bachelor",18.3,"Did not disclose","Male","American Indian or Alaska Native","Not Hispanic or Latino",FALSE,"Marketing","Entry",66300,60400,FALSE
